State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
NY,1960,691728,434127,1700047,0,100502,2926404,3.4343173396427833,96.56568266035721
OH,1960,1269205,724824,796707,0,36822,2827558,1.3022544541968724,98.69774554580313
OK,1960,1826,319270,254680,0,12589,588365,2.1396582053657167,97.86034179463428
OR,1960,8943,31941,212447,0,98889,352220,28.075918460053376,71.92408153994663
PA,1960,1530508,540094,1120870,2674,52683,3246829,1.622598541530829,98.37740145846917
RI,1960,16754,12253,153624,0,2888,185519,1.5567138675822962,98.4432861324177
SC,1960,96414,60581,219200,0,55439,431634,12.843983560145864,87.15601643985414
SD,1960,6707,25392,86178,0,5481,123758,4.428804602530746,95.57119539746925
TN,1960,374478,151740,228239,0,74957,829414,9.037344438362506,90.96265556163749
TX,1960,24974,2815483,1536057,0,42057,4418571,0.9518235646773584,99.04817643532265
UT,1960,90967,72441,127551,0,3258,294217,1.1073459385419606,98.89265406145805
VA,1960,316395,68431,442254,0,60396,887476,6.805367131054812,93.19463286894519
VT,1960,3507,0,46623,0,10922,61052,17.889667824149907,82.11033217585009
WA,1960,15231,67207,356807,0,175732,614977,28.57537761574823,71.42462238425176
WI,1960,304624,93792,392174,0,47340,837930,5.649636604489635,94.35036339551037
WV,1960,354418,155554,126727,0,16569,653268,2.5363250610775365,97.46367493892247
WY,1960,15763,52828,75496,0,3700,147787,2.503603158599877,97.49639684140013
US,1960,9830513,12385366,19873652,6026,1829874,43925431,4.165864644560915,95.83413535543909
AK,1961,11552,2300,51008,0,5160,70020,7.369323050556984,92.63067694944301
AL,1961,382455,191533,232362,0,69190,875540,7.9025515681750695,92.09744843182493
AR,1961,275,215311,159835,0,41049,416470,9.856412226570942,90.14358777342906
AZ,1961,211,159093,126775,0,13847,299926,4.616805478684742,95.38319452131526
CA,1961,59106,1400174,1892977,55,136263,3488575,3.9059788022330033,96.09402119776699
